"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Joost Luiten",11900,"Golf@Golf 01:30AM ET",76.000,"Golf"
"G","Bernd Wiesberger",11600,"Golf@Golf 01:30AM ET",62.571,"Golf"
"G","Chris Wood",11500,"Golf@Golf 01:30AM ET",62.167,"Golf"
"G","Gregory Bourdy",10600,"Golf@Golf 01:30AM ET",68.433,"Golf"
"G","Richie Ramsay",10300,"Golf@Golf 01:30AM ET",64.250,"Golf"
"G","James Morrison",10000,"Golf@Golf 01:30AM ET",61.375,"Golf"
"G","Richard Bland",9600,"Golf@Golf 01:30AM ET",71.269,"Golf"
"G","Lucas Bjerregaard",9400,"Golf@Golf 01:30AM ET",48.769,"Golf"
"G","Lee Slattery",9000,"Golf@Golf 01:30AM ET",53.038,"Golf"
"G","Callum Shinkwin",8700,"Golf@Golf 01:30AM ET",56.500,"Golf"
"G","Jordan L. Smith",8500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Johan Carlsson",8200,"Golf@Golf 01:30AM ET",64.893,"Golf"
"G","Paul Dunne",8100,"Golf@Golf 01:30AM ET",49.385,"Golf"
"G","Thomas Bjorn",8000,"Golf@Golf 01:30AM ET",55.500,"Golf"
"G","Magnus A Carlsson",7900,"Golf@Golf 01:30AM ET",44.038,"Golf"
"G","Eduardo De La Riva",7800,"Golf@Golf 01:30AM ET",40.958,"Golf"
"G","Kristoffer Broberg",7700,"Golf@Golf 01:30AM ET",47.917,"Golf"
"G","Lasse Jensen",7600,"Golf@Golf 01:30AM ET",41.100,"Golf"
"G","Marc Warren",7500,"Golf@Golf 01:30AM ET",42.615,"Golf"
"G","Dean Burmester",7500,"Golf@Golf 01:30AM ET",67.750,"Golf"
"G","Dylan Frittelli",7500,"Golf@Golf 01:30AM ET",55.571,"Golf"
"G","Y.E. Yang",7400,"Golf@Golf 01:30AM ET",38.100,"Golf"
"G","David Horsey",7400,"Golf@Golf 01:30AM ET",45.063,"Golf"
"G","Nino Bertasio",7400,"Golf@Golf 01:30AM ET",53.250,"Golf"
"G","Gregory Havret",7300,"Golf@Golf 01:30AM ET",45.733,"Golf"
"G","David Howell",7300,"Golf@Golf 01:30AM ET",56.857,"Golf"
"G","Jason Scrivener",7300,"Golf@Golf 01:30AM ET",58.038,"Golf"
"G","Chris Hanson",7200,"Golf@Golf 01:30AM ET",52.667,"Golf"
"G","Brett Rumford",7200,"Golf@Golf 01:30AM ET",53.042,"Golf"
"G","David Drysdale",7200,"Golf@Golf 01:30AM ET",50.857,"Golf"
"G","Gary Boyd",7100,"Golf@Golf 01:30AM ET",48.591,"Golf"
"G","Florian Fritsch",7100,"Golf@Golf 01:30AM ET",43.250,"Golf"
"G","Mike Lorenzo-Vera",7100,"Golf@Golf 01:30AM ET",43.667,"Golf"
"G","Ricardo Gouveia",7000,"Golf@Golf 01:30AM ET",46.464,"Golf"
"G","Robert Dinwiddie",7000,"Golf@Golf 01:30AM ET",42.083,"Golf"
"G","Scott Jamieson",7000,"Golf@Golf 01:30AM ET",45.615,"Golf"
"G","Shiv Kapur",6900,"Golf@Golf 01:30AM ET",51.813,"Golf"
"G","Zander Lombard",6900,"Golf@Golf 01:30AM ET",66.571,"Golf"
"G","Gary Stal",6900,"Golf@Golf 01:30AM ET",40.000,"Golf"
"G","Adrian Otaegui",6900,"Golf@Golf 01:30AM ET",39.846,"Golf"
"G","Anthony Wall",6900,"Golf@Golf 01:30AM ET",36.550,"Golf"
"G","David Lipsky",6800,"Golf@Golf 01:30AM ET",54.654,"Golf"
"G","Todd Sinnott",6800,"Golf@Golf 01:30AM ET",56.500,"Golf"
"G","Matthew Southgate",6800,"Golf@Golf 01:30AM ET",40.250,"Golf"
"G","Tjaart Van der Walt",6800,"Golf@Golf 01:30AM ET",40.357,"Golf"
"G","Renato Paratore",6800,"Golf@Golf 01:30AM ET",49.882,"Golf"
"G","Pelle Edberg",6700,"Golf@Golf 01:30AM ET",47.179,"Golf"
"G","Clement Berardo",6700,"Golf@Golf 01:30AM ET",49.313,"Golf"
"G","Estanislao Goya",6700,"Golf@Golf 01:30AM ET",48.929,"Golf"
"G","Johan Edfors",6700,"Golf@Golf 01:30AM ET",73.250,"Golf"
"G","Wu Ashun",6700,"Golf@Golf 01:30AM ET",58.056,"Golf"
"G","Matthew Millar",6700,"Golf@Golf 01:30AM ET",45.250,"Golf"
"G","David Dixon",6700,"Golf@Golf 01:30AM ET",46.444,"Golf"
"G","Scott Henry",6600,"Golf@Golf 01:30AM ET",62.375,"Golf"
"G","Michael Hoey",6600,"Golf@Golf 01:30AM ET",30.571,"Golf"
"G","Ross McGowan",6600,"Golf@Golf 01:30AM ET",48.550,"Golf"
"G","Mikael Lundberg",6600,"Golf@Golf 01:30AM ET",40.600,"Golf"
"G","Matt  Wallace",6600,"Golf@Golf 01:30AM ET",50.000,"Golf"
"G","Simon Dyson",6500,"Golf@Golf 01:30AM ET",32.500,"Golf"
"G","Thomas Linard",6500,"Golf@Golf 01:30AM ET",44.318,"Golf"
"G","Jean Hugo",6500,"Golf@Golf 01:30AM ET",37.444,"Golf"
"G","Simon Khan",6500,"Golf@Golf 01:30AM ET",28.167,"Golf"
"G","Stuart Manley",6500,"Golf@Golf 01:30AM ET",50.400,"Golf"
"G","Max Orrin",6500,"Golf@Golf 01:30AM ET",47.000,"Golf"
"G","Daniel Gaunt",6500,"Golf@Golf 01:30AM ET",26.200,"Golf"
"G","Borja Virto Astudillo",6400,"Golf@Golf 01:30AM ET",41.471,"Golf"
"G","Daniel Im",6400,"Golf@Golf 01:30AM ET",44.923,"Golf"
"G","Graeme Storm",6400,"Golf@Golf 01:30AM ET",43.538,"Golf"
"G","Paul Howard",6400,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Steve Webster",6400,"Golf@Golf 01:30AM ET",32.556,"Golf"
"G","Jack Senior",6300,"Golf@Golf 01:30AM ET",44.250,"Golf"
"G","Michael Jonzon",6300,"Golf@Golf 01:30AM ET",52.375,"Golf"
"G","Nick Cullen",6300,"Golf@Golf 01:30AM ET",54.800,"Golf"
"G","Richard McEvoy",6300,"Golf@Golf 01:30AM ET",44.455,"Golf"
"G","Oliver Fisher",6300,"Golf@Golf 01:30AM ET",38.600,"Golf"
"G","Ryan Fox",6300,"Golf@Golf 01:30AM ET",41.250,"Golf"
"G","Jens Fahrbring",6200,"Golf@Golf 01:30AM ET",34.500,"Golf"
"G","Jason Knutzon",6200,"Golf@Golf 01:30AM ET",31.929,"Golf"
"G","Mardan Mamat",6200,"Golf@Golf 01:30AM ET",52.750,"Golf"
"G","Pedro Oriol",6200,"Golf@Golf 01:30AM ET",17.667,"Golf"
"G","Aaron Pike",6200,"Golf@Golf 01:30AM ET",39.250,"Golf"
"G","Marcus Kinhult",6200,"Golf@Golf 01:30AM ET",22.889,"Golf"
"G","Kristopher Mueck",6100,"Golf@Golf 01:30AM ET",29.000,"Golf"
"G","Edoardo Molinari",6100,"Golf@Golf 01:30AM ET",31.462,"Golf"
"G","Jbe Kruger",6100,"Golf@Golf 01:30AM ET",55.222,"Golf"
"G","Matthew Baldwin",6100,"Golf@Golf 01:30AM ET",23.529,"Golf"
"G","Tom Lewis",6100,"Golf@Golf 01:30AM ET",34.571,"Golf"
"G","Terry Pilkadaris",6100,"Golf@Golf 01:30AM ET",45.313,"Golf"
"G","Justin Walters",6100,"Golf@Golf 01:30AM ET",47.450,"Golf"
"G","Rhys Davies",6000,"Golf@Golf 01:30AM ET",38.700,"Golf"
"G","Jordan Zunic",6000,"Golf@Golf 01:30AM ET",39.167,"Golf"
"G","Matt Ford",6000,"Golf@Golf 01:30AM ET",30.321,"Golf"
"G","Richard Finch",6000,"Golf@Golf 01:30AM ET",7.250,"Golf"
"G","Ryan Evans",6000,"Golf@Golf 01:30AM ET",37.000,"Golf"
"G","Chris Paisley",6000,"Golf@Golf 01:30AM ET",36.607,"Golf"
"G","Ulrich Van Den Berg",6000,"Golf@Golf 01:30AM ET",29.045,"Golf"
"G","David Bransdon",6000,"Golf@Golf 01:30AM ET",43.250,"Golf"
"G","Mark Foster",5900,"Golf@Golf 01:30AM ET",29.333,"Golf"
"G","Jeff Winther",5900,"Golf@Golf 01:30AM ET",33.000,"Golf"
"G","Daniel Brooks",5900,"Golf@Golf 01:30AM ET",50.464,"Golf"
"G","Chiragh Kumar",5900,"Golf@Golf 01:30AM ET",51.300,"Golf"
"G","Andrew McArthur",5900,"Golf@Golf 01:30AM ET",27.150,"Golf"
"G","Edouard Espana",5900,"Golf@Golf 01:30AM ET",22.577,"Golf"
"G","Michael G Palmer",5900,"Golf@Golf 01:30AM ET",65.000,"Golf"
"G","Ben Evans",5900,"Golf@Golf 01:30AM ET",43.094,"Golf"
"G","Marco Crespi",5900,"Golf@Golf 01:30AM ET",34.833,"Golf"
"G","Francesco Laporta",5800,"Golf@Golf 01:30AM ET",32.000,"Golf"
"G","Peter Lawrie",5800,"Golf@Golf 01:30AM ET",27.167,"Golf"
"G","Jose-Filipe Lima",5800,"Golf@Golf 01:30AM ET",48.167,"Golf"
"G","Soren Hansen",5800,"Golf@Golf 01:30AM ET",22.417,"Golf"
"G","Bjorn Akesson",5800,"Golf@Golf 01:30AM ET",37.567,"Golf"
"G","Jeev M. Singh",5800,"Golf@Golf 01:30AM ET",36.889,"Golf"
"G","Paul Peterson",5800,"Golf@Golf 01:30AM ET",40.333,"Golf"
"G","Jamie McLeary",5700,"Golf@Golf 01:30AM ET",37.115,"Golf"
"G","Jose Manuel Lara",5700,"Golf@Golf 01:30AM ET",49.000,"Golf"
"G","Carlos Pigem",5700,"Golf@Golf 01:30AM ET",34.500,"Golf"
"G","Sam Walker",5700,"Golf@Golf 01:30AM ET",23.700,"Golf"
"G","Daniel Gavins",5700,"Golf@Golf 01:30AM ET",30.313,"Golf"
"G","Sepp Straka",5700,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Benjamin Weilguni",5700,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Oliver Rath",5700,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Richard T. Lee",5600,"Golf@Golf 01:30AM ET",56.286,"Golf"
"G","Oliver Wilson",5600,"Golf@Golf 01:30AM ET",26.750,"Golf"
"G","Dimi Papadatos",5600,"Golf@Golf 01:30AM ET",41.688,"Golf"
"G","Joshua White",5600,"Golf@Golf 01:30AM ET",35.750,"Golf"
"G","Joachim B. Hansen",5600,"Golf@Golf 01:30AM ET",26.643,"Golf"
"G","Laurie Canter",5600,"Golf@Golf 01:30AM ET",33.611,"Golf"
"G","Himmat Rai",5600,"Golf@Golf 01:30AM ET",44.700,"Golf"
"G","Morten Orum Madsen",5600,"Golf@Golf 01:30AM ET",32.167,"Golf"
"G","Cesar Costilla",5600,"Golf@Golf 01:30AM ET",9.500,"Golf"
"G","Mads Sogaard",5600,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Scott Arnold",5500,"Golf@Golf 01:30AM ET",37.667,"Golf"
"G","Matthew Guyatt",5500,"Golf@Golf 01:30AM ET",59.000,"Golf"
"G","Clemens Gaster",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Florian Praegant",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Daniel Schlauer",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Maximilian Steinlechner",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Ales Korinek",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Moritz Mayrhauser",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Michael Ludwig",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Nicolo Ravano",5400,"Golf@Golf 01:30AM ET",27.500,"Golf"
"G","James Robinson",5400,"Golf@Golf 01:30AM ET",29.611,"Golf"
"G","Lukas Nemecz",5400,"Golf@Golf 01:30AM ET",29.188,"Golf"
"G","James Allan",5400,"Golf@Golf 01:30AM ET",69.500,"Golf"
"G","Bernard Neumayer",5400,"Golf@Golf 01:30AM ET",0,"Golf"
"G","HP Bacher",5400,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Eugen Furnweger",5400,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Darryn Lloyd",5300,"Golf@Golf 01:30AM ET",30.000,"Golf"
"G","Jin Jeong",5300,"Golf@Golf 01:30AM ET",15.500,"Golf"
"G","Petr Dedek",5300,"Golf@Golf 01:30AM ET",15.000,"Golf"
"G","Berni Reiter",5300,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Timon Baltl",5300,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Petr Gal",5300,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Rene Gruber",5300,"Golf@Golf 01:30AM ET",0,"Golf"
